Day in December ,Flow /m^3s^-1,Height/m
25,8.84,1.362
25.010417,8.88,1.364
25.020833,8.8,1.36
25.03125,8.77,1.358
25.041667,8.67,1.353
25.052083,8.67,1.353
25.0625,8.65,1.352
25.072917,8.57,1.348
25.083333,8.5,1.344
25.09375,8.46,1.342
25.104167,8.33,1.335
25.114583,8.35,1.336
25.125,8.29,1.333
25.135417,8.29,1.333
25.145833,8.29,1.333
25.15625,8.16,1.326
25.166667,8.18,1.327
25.177083,8.03,1.319
25.1875,8.07,1.321
25.197917,8.03,1.319
25.208333,7.94,1.314
25.21875,7.99,1.317
25.229167,7.96,1.315
25.239583,7.9,1.312
25.25,7.9,1.312
25.260417,7.83,1.308
25.270833,7.86,1.31
25.28125,7.81,1.307
25.291667,7.72,1.302
25.302083,7.74,1.303
25.3125,7.7,1.301
25.322917,7.63,1.297
25.333333,7.58,1.294
25.34375,7.58,1.294
25.354167,7.51,1.29
25.364583,7.45,1.287
25.375,7.42,1.285
25.385417,7.38,1.283
25.395833,7.44,1.286
25.40625,7.36,1.282
25.416667,7.26,1.276
25.427083,7.33,1.28
25.4375,7.24,1.275
25.447917,7.26,1.276
25.458333,7.19,1.272
25.46875,7.23,1.274
25.479167,7.23,1.274
25.489583,7.14,1.269
25.5,7.31,1.279
25.510417,7.36,1.282
25.520833,7.36,1.282
25.53125,7.36,1.282
25.541667,7.47,1.288
25.552083,7.68,1.3
25.5625,7.86,1.31
25.572917,7.96,1.315
25.583333,8.25,1.331
25.59375,8.67,1.353
25.604167,8.88,1.364
25.614583,9.04,1.372
25.625,9.26,1.383
25.635417,9.8,1.41
25.645833,10.4,1.438
25.65625,10.9,1.462
25.666667,11.6,1.494
25.677083,12.3,1.525
25.6875,14,1.593
25.697917,15.8,1.665
25.708333,19.4,1.792
25.71875,24,1.935
25.729167,31.3,2.142
25.739583,37.8,2.336
25.75,44.1,2.516
25.760417,49.9,2.674
25.770833,54.3,2.793
25.78125,58.7,2.907
25.791667,61.6,2.982
25.802083,65,3.069
25.8125,68.7,3.156
25.822917,73.5,3.267
25.833333,78.7,3.379
25.84375,84.5,3.501
25.854167,89.2,3.595
25.864583,93.8,3.686
25.875,98,3.766
25.885417,103,3.858
25.895833,106,3.903
25.90625,107,3.925
25.916667,107,3.925
25.927083,105,3.902
25.9375,104,3.867
25.947917,101,3.828
25.958333,99.6,3.796
25.96875,95.9,3.726
25.979167,93.4,3.678
25.989583,90.4,3.62
26,88,3.571
26.010417,84.7,3.506
26.020833,81.2,3.433
26.03125,77.7,3.358
26.041667,75.3,3.306
26.052083,72.2,3.237
26.0625,69.2,3.168
26.072917,66.5,3.105
26.083333,64.7,3.061
26.09375,62,2.992
26.104167,60.5,2.955
26.114583,59.9,2.939
26.125,59.6,2.932
26.135417,60.3,2.95
26.145833,61.4,2.977
26.15625,64.1,3.046
26.166667,67.3,3.124
26.177083,70.7,3.203
26.1875,73.6,3.269
26.197917,77.1,3.344
26.208333,81.8,3.446
26.21875,85.7,3.526
26.229167,89.8,3.607
26.239583,92.6,3.663
26.25,96.3,3.734
26.260417,99,3.784
26.270833,105,3.892
26.28125,110,3.979
26.291667,114,4.06
26.302083,120,4.157
26.3125,124,4.223
26.322917,129,4.299
26.333333,134,4.373
26.34375,144,4.534
26.354167,153,4.655
26.364583,157,4.723
