Day in December 2015,Stage,Discharge,Ings Stage
26,4.13,208,7.944
26.01041667,4.14,209,7.942
26.02083333,4.148,210,7.946
26.03125,4.155,211,7.945
26.04166667,4.167,211,7.946
26.05208333,4.179,213,7.946
26.0625,4.188,214,7.947
26.07291667,4.201,215,7.949
26.08333333,4.214,217,7.95
26.09375,4.228,218,7.949
26.10416667,4.246,219,7.953
26.11458333,4.258,221,7.952
26.125,4.28,223,7.953
26.13541667,4.297,224,7.956
26.14583333,4.311,226,7.954
26.15625,4.332,229,7.954
26.16666667,4.35,229,7.957
26.17708333,4.369,232,7.958
26.1875,4.387,234,7.962
26.19791667,4.403,235,7.964
26.20833333,4.418,237,7.963
26.21875,4.443,239,7.965
26.22916667,4.459,241,7.968
26.23958333,4.481,243,7.969
26.25,4.501,244,7.967
26.26041667,4.52,246,7.972
26.27083333,4.541,250,7.971
26.28125,4.566,251,7.973
26.29166667,4.589,254,7.975
26.30208333,4.608,255,7.976
26.3125,4.63,257,7.977
26.32291667,4.654,258,7.978
26.33333333,4.675,261,7.989
26.34375,4.7,262,7.987
26.35416667,4.716,264,7.988
26.36458333,4.744,267,7.99
26.375,4.768,268,7.99
26.38541667,4.789,270,7.996
26.39583333,4.804,273,8
26.40625,4.834,276,8
26.41666667,4.854,279,7.998
26.42708333,4.879,281,8.004
26.4375,4.901,284,8.003
26.44791667,4.928,287,8.006
26.45833333,4.946,287,8.005
26.46875,4.97,288,8.007
26.47916667,4.992,291,8.015
26.48958333,5.008,293,8.02
26.5,5.028,296,8.02
26.51041667,5.045,298,8.026
26.52083333,5.064,299,8.026
26.53125,5.074,299,8.029
26.54166667,5.088,300,8.034
26.55208333,5.107,301,8.041
26.5625,5.125,303,8.035
26.57291667,5.138,303,8.034
26.58333333,5.158,303,8.039
26.59375,5.162,303,8.039
26.60416667,5.176,302,8.042
26.61458333,5.187,305,8.043
26.625,5.203,306,8.045
26.63541667,5.205,306,8.042
26.64583333,5.22,305,8.038
26.65625,5.229,309,8.044
26.66666667,5.244,309,8.041
26.67708333,5.267,314,8.056
26.6875,5.286,319,8.046
26.69791667,5.315,322,8.053
26.70833333,5.331,326,8.048
26.71875,5.359,332,8.049
26.72916667,5.382,335,8.053
26.73958333,5.405,339,8.056
26.75,5.44,345,8.064
26.76041667,5.458,348,8.055
26.77083333,5.482,352,8.067
26.78125,5.514,357,8.059
26.79166667,5.545,363,8.06
26.80208333,5.571,367,8.065
26.8125,5.595,371,8.065
26.82291667,5.621,373,8.05
26.83333333,5.65,380,8.073
26.84375,5.683,385,8.063
26.85416667,5.714,390,8.074
26.86458333,5.743,398,8.074
26.875,5.788,402,8.078
26.88541667,5.822,407,8.073
26.89583333,5.853,417,8.076
26.90625,5.894,425,8.088
26.91666667,5.928,429,8.088
26.92708333,5.957,435,8.088
26.9375,6.002,442,8.086
26.94791667,6.029,448,8.089
26.95833333,6.069,454,8.089
26.96875,6.083,464,8.096
26.97916667,6.117,467,8.11
26.98958333,6.138,477,8.123
27,6.157,485,8.136
27.01041667,6.169,491,8.175
27.02083333,6.176,498,8.229
27.03125,6.191,504,8.319
27.04166667,6.198,508,8.422
27.05208333,6.209,510,8.543
27.0625,6.219,516,8.675
27.07291667,6.227,521,8.825
27.08333333,6.229,528,8.973
27.09375,6.235,527,9.126
27.10416667,6.25,527,9.281
27.11458333,6.247,529,9.434
27.125,6.238,536,9.581
27.13541667,6.258,534,9.734
27.14583333,6.245,539,9.887
27.15625,6.253,542,10.039
27.16666667,6.254,543,10.193
27.17708333,6.257,543,10.347
27.1875,6.255,544,10.469
27.19791667,6.266,541,10.542
27.20833333,6.298,529,10.579
27.21875,6.325,520,10.605
27.22916667,6.339,515,10.627
27.23958333,6.359,518,10.647
27.25,6.369,514,10.663
27.26041667,6.39,509,10.68
27.27083333,6.401,513,10.694
27.28125,6.413,513,10.707
27.29166667,6.418,511,10.718
27.30208333,6.426,511,10.729
27.3125,6.435,508,10.738
27.32291667,6.439,511,10.746
27.33333333,6.447,507,10.753
27.34375,6.45,507,10.761
27.35416667,6.451,506,10.767
27.36458333,6.471,507,10.772
27.375,6.461,506,10.777
27.38541667,6.469,504,10.782
27.39583333,6.478,506,10.788
27.40625,6.472,502,10.789
27.41666667,6.48,500,10.793
27.42708333,6.477,503,10.797
27.4375,6.484,501,10.8
27.44791667,6.487,504,10.804
27.45833333,6.49,506,10.807
27.46875,6.486,506,10.81
27.47916667,6.5,508,10.814
27.48958333,6.503,506,10.819
27.5,6.507,504,10.823
27.51041667,6.502,509,10.826
27.52083333,6.516,507,10.83
27.53125,6.519,510,10.836
27.54166667,6.523,509,10.839
27.55208333,6.524,510,10.843
27.5625,6.53,508,10.847
27.57291667,6.523,511,10.85
27.58333333,6.534,509,10.853
27.59375,6.538,513,10.856
27.60416667,6.546,512,10.861
27.61458333,6.531,516,10.863
27.625,6.552,514,10.866
27.63541667,6.546,511,10.868
27.64583333,6.554,512,10.871
27.65625,6.552,516,10.873
27.66666667,6.549,516,10.877
27.67708333,6.564,518,10.879
27.6875,6.556,511,10.882
27.69791667,6.574,522,10.885
27.70833333,6.577,521,10.887
27.71875,6.569,519,10.889
27.72916667,6.566,517,10.893
27.73958333,6.579,519,10.895
27.75,6.583,525,10.899
27.76041667,6.578,517,10.901
27.77083333,6.579,521,10.903
27.78125,6.587,523,10.907
27.79166667,6.592,524,10.91
27.80208333,6.601,528,10.912
27.8125,6.603,528,10.913
27.82291667,6.597,527,10.916
27.83333333,6.6,529,10.919
27.84375,6.601,531,10.921
27.85416667,6.61,529,10.924
27.86458333,6.609,528,10.925
27.875,6.605,531,10.931
27.88541667,6.611,529,10.932
27.89583333,6.614,529,10.934
27.90625,6.611,530,10.935
27.91666667,6.616,528,10.938
27.92708333,6.627,530,10.94
27.9375,6.62,529,10.941
27.94791667,6.631,533,10.943
27.95833333,6.626,532,10.944
27.96875,6.63,532,10.945
27.97916667,6.631,532,10.945
27.98958333,6.63,533,10.947
28,6.629,529,10.948
28.01041667,6.63,529,10.948
28.02083333,6.624,532,10.948
28.03125,6.634,529,10.948
28.04166667,6.622,531,10.947
28.05208333,6.627,528,10.947
28.0625,6.625,530,10.947
28.07291667,6.628,529,10.946
28.08333333,6.623,532,10.945
28.09375,6.609,531,10.945
28.10416667,6.622,528,10.941
28.11458333,6.625,527,10.94
28.125,6.625,529,10.939
28.13541667,6.619,528,10.938
28.14583333,6.625,529,10.936
28.15625,6.615,527,10.934
28.16666667,6.611,525,10.932
28.17708333,6.602,526,10.929
28.1875,6.616,523,10.926
28.19791667,6.597,521,10.925
28.20833333,6.609,524,10.922
28.21875,6.602,524,10.921
28.22916667,6.601,521,10.917
28.23958333,6.593,518,10.915
28.25,6.595,520,10.913
28.26041667,6.594,517,10.912
28.27083333,6.592,519,10.908
28.28125,6.578,517,10.906
28.29166667,6.588,515,10.9
28.30208333,6.59,522,10.901
28.3125,6.568,517,10.897
28.32291667,6.575,516,10.895
28.33333333,6.567,516,10.892
28.34375,6.567,513,10.888
28.35416667,6.56,511,10.883
28.36458333,6.56,515,10.881
28.375,6.558,513,10.879
28.38541667,6.548,509,10.873
28.39583333,6.535,507,10.868
28.40625,6.544,509,10.866
28.41666667,6.542,504,10.859
28.42708333,6.533,508,10.855
28.4375,6.534,504,10.854
28.44791667,6.532,501,10.848
28.45833333,6.529,500,10.845
28.46875,6.517,499,10.841
28.47916667,6.516,500,10.838
28.48958333,6.515,506,10.833
28.5,6.5,497,10.83
28.51041667,6.497,499,10.825
28.52083333,6.494,496,10.823
28.53125,6.491,494,10.817
28.54166667,6.496,498,10.815
28.55208333,6.487,492,10.809
28.5625,6.477,496,10.806
28.57291667,6.474,493,10.802
28.58333333,6.481,488,10.797
28.59375,6.467,493,10.791
28.60416667,6.469,492,10.788
28.61458333,6.458,487,10.785
28.625,6.451,488,10.776
28.63541667,6.45,487,10.776
28.64583333,6.442,487,10.769
28.65625,6.439,484,10.766
28.66666667,6.442,482,10.761
28.67708333,6.427,482,10.755
28.6875,6.426,484,10.749
28.69791667,6.426,482,10.744
28.70833333,6.417,478,10.741
28.71875,6.417,477,10.734
28.72916667,6.405,478,10.731
28.73958333,6.404,475,10.725
28.75,6.394,473,10.718
28.76041667,6.39,472,10.713
28.77083333,6.386,470,10.708
28.78125,6.381,466,10.705
28.79166667,6.375,464,10.701
28.80208333,6.37,466,10.694
28.8125,6.366,463,10.686
28.82291667,6.362,463,10.681
28.83333333,6.348,462,10.675
28.84375,6.342,462,10.673
28.85416667,6.347,459,10.669
28.86458333,6.339,459,10.663
28.875,6.332,456,10.658
28.88541667,6.329,456,10.652
28.89583333,6.332,458,10.645
28.90625,6.318,455,10.641
28.91666667,6.319,451,10.636
28.92708333,6.309,451,10.629
28.9375,6.301,449,10.625
28.94791667,6.298,446,10.618
28.95833333,6.288,448,10.617
28.96875,6.28,448,10.611
28.97916667,6.282,446,10.606
28.98958333,6.275,444,10.603
29,6.264,444,10.597
29.01041667,6.263,440,10.592
29.02083333,6.252,440,10.588
29.03125,6.246,439,10.583
29.04166667,6.249,438,10.58
29.05208333,6.235,437,10.575
29.0625,6.234,437,10.574
29.07291667,6.23,434,10.567
29.08333333,6.222,431,10.565
29.09375,6.213,429,10.559
29.10416667,6.208,428,10.553
29.11458333,6.207,429,10.55
29.125,6.197,427,10.547
29.13541667,6.202,424,10.542
29.14583333,6.189,424,10.534
29.15625,6.188,427,10.53
29.16666667,6.172,423,10.527
29.17708333,6.175,422,10.522
29.1875,6.157,420,10.515
29.19791667,6.162,420,10.512
29.20833333,6.152,418,10.505
29.21875,6.147,417,10.499
29.22916667,6.137,415,10.494
29.23958333,6.14,412,10.488
29.25,6.127,411,10.483
29.26041667,6.125,408,10.478
29.27083333,6.124,407,10.471
29.28125,6.115,402,10.465
29.29166667,6.11,404,10.46
29.30208333,6.1,404,10.454
29.3125,6.09,402,10.448
29.32291667,6.096,400,10.443
29.33333333,6.086,400,10.438
