Day in November 2000,Stage,Discharge
31,5.365,336
31.01041667,5.378,337
31.02083333,5.386,337
31.03125,5.404,338
31.04166667,5.419,343
31.05208333,5.436,346
31.0625,5.458,350
31.07291667,5.468,351
31.08333333,5.489,356
31.09375,5.511,360
31.10416667,5.522,361
31.11458333,5.545,364
31.125,5.567,367
31.13541667,5.575,370
31.14583333,5.601,373
31.15625,5.618,375
31.16666667,5.634,378
31.17708333,5.655,381
31.1875,5.672,382
31.19791667,5.698,384
31.20833333,5.717,387
31.21875,5.739,388
31.22916667,5.764,390
31.23958333,5.778,392
31.25,5.804,393
31.26041667,5.818,397
31.27083333,5.839,400
31.28125,5.865,401
31.29166667,5.876,402
31.30208333,5.901,406
31.3125,5.917,407
31.32291667,5.929,409
31.33333333,5.966,409
31.34375,5.966,411
31.35416667,5.977,414
31.36458333,5.999,415
31.375,6.017,417
31.38541667,6.02,417
31.39583333,6.034,420
31.40625,6.06,422
31.41666667,6.066,424
31.42708333,6.064,425
31.4375,6.077,427
31.44791667,6.1,430
31.45833333,6.116,433
31.46875,6.116,434
31.47916667,6.118,436
31.48958333,6.125,438
31.5,6.134,439
31.51041667,6.137,443
31.52083333,6.156,445
31.53125,6.162,444
31.54166667,6.162,447
31.55208333,6.162,448
31.5625,6.162,448
31.57291667,6.165,450
31.58333333,6.172,450
31.59375,6.174,452
31.60416667,6.179,454
31.61458333,6.179,457
31.625,6.181,456
31.63541667,6.184,456
31.64583333,6.183,459
31.65625,6.183,461
31.66666667,6.183,463
31.67708333,6.202,463
31.6875,6.209,464
31.69791667,6.214,464
31.70833333,6.214,465
31.71875,6.214,465
31.72916667,6.214,464
31.73958333,6.214,465
31.75,6.214,464
31.76041667,6.214,467
31.77083333,6.214,469
31.78125,6.214,468
31.79166667,6.214,467
31.80208333,6.214,471
31.8125,6.217,472
31.82291667,6.218,473
31.83333333,6.212,473
31.84375,6.212,475
31.85416667,6.214,479
31.86458333,6.233,478
31.875,6.233,481
31.88541667,6.233,484
31.89583333,6.233,484
31.90625,6.251,480
31.91666667,6.267,473
31.92708333,6.281,469
31.9375,6.315,467
31.94791667,6.315,468
31.95833333,6.319,467
31.96875,6.321,464
31.97916667,6.335,463
31.98958333,6.355,464
32,6.363,466
32.01041667,6.363,464
32.02083333,6.363,464
32.03125,6.363,460
32.04166667,6.366,458
32.05208333,6.37,461
32.0625,6.37,459
32.07291667,6.37,457
32.08333333,6.368,458
32.09375,6.368,456
32.10416667,6.376,458
32.11458333,6.366,458
32.125,6.366,458
32.13541667,6.366,457
32.14583333,6.366,457
32.15625,6.387,455
32.16666667,6.387,456
32.17708333,6.38,457
32.1875,6.383,456
32.19791667,6.384,452
32.20833333,6.378,454
32.21875,6.379,454
32.22916667,6.377,453
32.23958333,6.379,452
32.25,6.38,452
32.26041667,6.377,450
32.27083333,6.374,448
32.28125,6.373,447
32.29166667,6.375,447
32.30208333,6.369,449
32.3125,6.365,446
32.32291667,6.364,446
32.33333333,6.361,445
32.34375,6.364,448
32.35416667,6.365,447
32.36458333,6.36,444
32.375,6.356,442
32.38541667,6.348,439
32.39583333,6.349,440
32.40625,6.347,439
32.41666667,6.34,438
32.42708333,6.338,439
32.4375,6.334,436
32.44791667,6.333,436
32.45833333,6.33,437
32.46875,6.325,435
32.47916667,6.323,433
32.48958333,6.321,432
32.5,6.318,433
32.51041667,6.317,432
32.52083333,6.317,432
32.53125,6.312,433
32.54166667,6.309,433
32.55208333,6.307,431
32.5625,6.304,429
32.57291667,6.303,430
32.58333333,6.306,432
32.59375,6.302,431
32.60416667,6.303,429
32.61458333,6.298,430
32.625,6.298,428
32.63541667,6.298,429
32.64583333,6.293,428
32.65625,6.294,430
32.66666667,6.29,429
32.67708333,6.29,431
32.6875,6.286,427
32.69791667,6.285,430
32.70833333,6.283,429
32.71875,6.287,429
32.72916667,6.283,428
32.73958333,6.284,429
32.75,6.279,429
32.76041667,6.275,429
32.77083333,6.275,430
32.78125,6.279,428
32.79166667,6.276,431
32.80208333,6.273,430
32.8125,6.273,430
32.82291667,6.273,431
32.83333333,6.273,430
32.84375,6.273,431
32.85416667,6.273,430
32.86458333,6.277,431
32.875,6.286,434
32.88541667,6.282,433
32.89583333,6.288,433
32.90625,6.286,431
32.91666667,6.287,436
32.92708333,6.288,437
32.9375,6.291,436
32.94791667,6.287,436
32.95833333,6.29,439
32.96875,6.29,437
32.97916667,6.293,438
32.98958333,6.297,439
33,6.297,438
33.01041667,6.301,439
33.02083333,6.297,441
33.03125,6.307,441
33.04166667,6.312,442
33.05208333,6.311,444
33.0625,6.316,444
33.07291667,6.321,444
33.08333333,6.321,444
33.09375,6.322,446
33.10416667,6.327,445
33.11458333,6.329,448
33.125,6.334,448
33.13541667,6.334,448
33.14583333,6.334,449
33.15625,6.339,447
33.16666667,6.339,449
33.17708333,6.338,450
33.1875,6.345,450
33.19791667,6.349,452
33.20833333,6.351,452
33.21875,6.352,451
33.22916667,6.349,451
33.23958333,6.349,452
33.25,6.349,456
33.26041667,6.355,456
33.27083333,6.365,452
33.28125,6.364,454
33.29166667,6.366,451
33.30208333,6.365,454
33.3125,6.372,454
33.32291667,6.372,453
33.33333333,6.37,454
33.34375,6.377,452
33.35416667,6.369,452
33.36458333,6.371,452
33.375,6.373,452
33.38541667,6.369,451
33.39583333,6.374,453
33.40625,6.374,452
33.41666667,6.368,452
33.42708333,6.37,451
33.4375,6.369,448
33.44791667,6.365,449
33.45833333,6.363,448
33.46875,6.363,448
33.47916667,6.363,444
33.48958333,6.359,444
33.5,6.359,443
33.51041667,6.362,443
33.52083333,6.357,443
33.53125,6.356,445
33.54166667,6.353,442
33.55208333,6.344,437
33.5625,6.348,438
33.57291667,6.34,436
33.58333333,6.338,435
33.59375,6.334,434
33.60416667,6.332,437
33.61458333,6.33,433
33.625,6.326,433
33.63541667,6.323,430
33.64583333,6.32,432
33.65625,6.321,430
33.66666667,6.318,426
33.67708333,6.312,424
33.6875,6.309,425
33.69791667,6.31,424
33.70833333,6.303,423
33.71875,6.303,424
33.72916667,6.296,424
33.73958333,6.297,420
33.75,6.295,420
33.76041667,6.289,420
33.77083333,6.288,418
33.78125,6.287,419
33.79166667,6.282,418
33.80208333,6.276,415
33.8125,6.271,415
33.82291667,6.27,417
33.83333333,6.265,414
33.84375,6.26,413
33.85416667,6.256,410
33.86458333,6.255,414
33.875,6.254,412
33.88541667,6.25,412
33.89583333,6.245,412
33.90625,6.24,413
33.91666667,6.239,410
33.92708333,6.239,409
33.9375,6.238,410
33.94791667,6.235,411
33.95833333,6.235,413
33.96875,6.232,413
33.97916667,6.232,413
33.98958333,6.232,413
34,6.232,414
34.01041667,6.232,414
34.02083333,6.232,414
34.03125,6.232,414
34.04166667,6.232,416
34.05208333,6.232,417
34.0625,6.232,416
34.07291667,6.235,418
34.08333333,6.238,419
34.09375,6.238,419
34.10416667,6.238,420
34.11458333,6.238,422
34.125,6.238,422
34.13541667,6.248,421
34.14583333,6.245,421
34.15625,6.245,424
34.16666667,6.245,426
34.17708333,6.245,428
34.1875,6.262,427
34.19791667,6.271,429
34.20833333,6.273,430
