Station name,York Foss Barrier - Ouse,,,
Station number,L2404,,,
External number,---,,,
River,River Ouse,,,
Operator,---,,,
NGR,SE6057451083,,,
Easting,460574,,,
Northing,451083,,,
Parameter-name,SG [Stage],,Values in mAOD,
Parameter Type,Stage,,,
Time series name,YOR/L2404/SG/Merger,,,
Time series unit,m,,,
Time level,High-resolution,,,
Time series type,Other,,,
Equidistant time series,no,,,
Time series value distance,---,,,
Time series quality,Production,,,
Time series measuring method,---,,,
Period of record in file: 21/10/2000 00:00:00 to 30/11/2000 23:45:00,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,
Time stamp,Value[m],State of value,Tags,Comments
21/10/2000 00:00,5.674,G,,
21/10/2000 00:15,5.68,G,,
21/10/2000 00:30,5.677,G,,
21/10/2000 00:45,5.674,G,,
21/10/2000 01:00,5.677,G,,
21/10/2000 01:15,5.674,G,,
21/10/2000 01:30,5.674,G,,
21/10/2000 01:45,5.674,G,,
21/10/2000 02:00,5.677,G,,
21/10/2000 02:15,5.677,G,,
21/10/2000 02:30,5.674,G,,
21/10/2000 02:45,5.677,G,,
21/10/2000 03:00,5.68,G,,
21/10/2000 03:15,5.686,G,,
21/10/2000 03:30,5.686,G,,
21/10/2000 03:45,5.683,G,,
21/10/2000 04:00,5.683,G,,
21/10/2000 04:15,5.69,G,,
21/10/2000 04:30,5.69,G,,
21/10/2000 04:45,5.686,G,,
21/10/2000 05:00,5.693,G,,
21/10/2000 05:15,5.693,G,,
21/10/2000 05:30,5.693,G,,
21/10/2000 05:45,5.702,G,,
21/10/2000 06:00,5.705,G,,
21/10/2000 06:15,5.696,G,,
21/10/2000 06:30,5.708,G,,
21/10/2000 06:45,5.712,G,,
21/10/2000 07:00,5.712,G,,
21/10/2000 07:15,5.712,G,,
21/10/2000 07:30,5.718,G,,
21/10/2000 07:45,5.715,G,,
21/10/2000 08:00,5.715,G,,
21/10/2000 08:15,5.718,G,,
21/10/2000 08:30,5.724,G,,
21/10/2000 08:45,5.721,G,,
21/10/2000 09:00,5.727,G,,
21/10/2000 09:15,5.718,G,,
21/10/2000 09:30,5.721,G,,
21/10/2000 09:45,5.727,G,,
21/10/2000 10:00,5.73,G,,
21/10/2000 10:15,5.727,G,,
21/10/2000 10:30,5.73,G,,
21/10/2000 10:45,5.733,G,,
21/10/2000 11:00,5.733,G,,
21/10/2000 11:15,5.733,G,,
21/10/2000 11:30,5.743,G,,
21/10/2000 11:45,5.74,G,,
21/10/2000 12:00,5.74,G,,
21/10/2000 12:15,5.749,G,,
21/10/2000 12:30,5.746,G,,
21/10/2000 12:45,5.746,G,,
21/10/2000 13:00,5.752,G,,
21/10/2000 13:15,5.749,G,,
21/10/2000 13:30,5.749,G,,
21/10/2000 13:45,5.746,G,,
21/10/2000 14:00,5.752,G,,
21/10/2000 14:15,5.746,G,,
21/10/2000 14:30,5.749,G,,
21/10/2000 14:45,5.749,G,,
21/10/2000 15:00,5.749,G,,
21/10/2000 15:15,5.752,G,,
21/10/2000 15:30,5.758,G,,
21/10/2000 15:45,5.752,G,,
21/10/2000 16:00,5.752,G,,
21/10/2000 16:15,5.755,G,,
21/10/2000 16:30,5.752,G,,
21/10/2000 16:45,5.749,G,,
21/10/2000 17:00,5.752,G,,
21/10/2000 17:15,5.752,G,,
21/10/2000 17:30,5.752,G,,
21/10/2000 17:45,5.749,G,,
21/10/2000 18:00,5.749,G,,
21/10/2000 18:15,5.752,G,,
21/10/2000 18:30,5.758,G,,
21/10/2000 18:45,5.755,G,,
21/10/2000 19:00,5.749,G,,
21/10/2000 19:15,5.755,G,,
21/10/2000 19:30,5.752,G,,
21/10/2000 19:45,5.749,G,,
21/10/2000 20:00,5.752,G,,
21/10/2000 20:15,5.749,G,,
21/10/2000 20:30,5.746,G,,
21/10/2000 20:45,5.749,G,,
21/10/2000 21:00,5.746,G,,
21/10/2000 21:15,5.746,G,,
21/10/2000 21:30,5.743,G,,
21/10/2000 21:45,5.743,G,,
21/10/2000 22:00,5.737,G,,
21/10/2000 22:15,5.737,G,,
21/10/2000 22:30,5.737,G,,
21/10/2000 22:45,5.74,G,,
21/10/2000 23:00,5.74,G,,
21/10/2000 23:15,5.73,G,,
21/10/2000 23:30,5.73,G,,
21/10/2000 23:45,5.73,G,,
22/10/2000 00:00,5.73,G,,
22/10/2000 00:15,5.733,G,,
22/10/2000 00:30,5.727,G,,
22/10/2000 00:45,5.73,G,,
22/10/2000 01:00,5.73,G,,
22/10/2000 01:15,5.724,G,,
22/10/2000 01:30,5.727,G,,
22/10/2000 01:45,5.721,G,,
22/10/2000 02:00,5.718,G,,
22/10/2000 02:15,5.721,G,,
22/10/2000 02:30,5.721,G,,
22/10/2000 02:45,5.718,G,,
22/10/2000 03:00,5.721,G,,
22/10/2000 03:15,5.715,G,,
22/10/2000 03:30,5.715,G,,
22/10/2000 03:45,5.712,G,,
22/10/2000 04:00,5.712,G,,
22/10/2000 04:15,5.708,G,,
22/10/2000 04:30,5.712,G,,
22/10/2000 04:45,5.702,G,,
22/10/2000 05:00,5.705,G,,
22/10/2000 05:15,5.702,G,,
22/10/2000 05:30,5.702,G,,
22/10/2000 05:45,5.708,G,,
22/10/2000 06:00,5.705,G,,
22/10/2000 06:15,5.699,G,,
22/10/2000 06:30,5.699,G,,
22/10/2000 06:45,5.69,G,,
22/10/2000 07:00,5.69,G,,
22/10/2000 07:15,5.693,G,,
22/10/2000 07:30,5.69,G,,
22/10/2000 07:45,5.686,G,,
22/10/2000 08:00,5.69,G,,
22/10/2000 08:15,5.69,G,,
22/10/2000 08:30,5.693,G,,
22/10/2000 08:45,5.686,G,,
22/10/2000 09:00,5.683,G,,
22/10/2000 09:15,5.68,G,,
22/10/2000 09:30,5.677,G,,
22/10/2000 09:45,5.677,G,,
22/10/2000 10:00,5.674,G,,
22/10/2000 10:15,5.674,G,,
22/10/2000 10:30,5.671,G,,
22/10/2000 10:45,5.677,G,,
22/10/2000 11:00,5.674,G,,
22/10/2000 11:15,5.665,G,,
22/10/2000 11:30,5.661,G,,
22/10/2000 11:45,5.671,G,,
22/10/2000 12:00,5.661,G,,
22/10/2000 12:15,5.655,G,,
22/10/2000 12:30,5.661,G,,
22/10/2000 12:45,5.658,G,,
22/10/2000 13:00,5.661,G,,
22/10/2000 13:15,5.661,G,,
22/10/2000 13:30,5.661,G,,
22/10/2000 13:45,5.652,G,,
22/10/2000 14:00,5.661,G,,
22/10/2000 14:15,5.658,G,,
22/10/2000 14:30,5.649,G,,
22/10/2000 14:45,5.652,G,,
22/10/2000 15:00,5.646,G,,
22/10/2000 15:15,5.652,G,,
22/10/2000 15:30,5.643,G,,
22/10/2000 15:45,5.649,G,,
22/10/2000 16:00,5.646,G,,
22/10/2000 16:15,5.643,G,,
22/10/2000 16:30,5.646,G,,
22/10/2000 16:45,5.646,G,,
22/10/2000 17:00,5.643,G,,
22/10/2000 17:15,5.636,G,,
22/10/2000 17:30,5.643,G,,
22/10/2000 17:45,5.636,G,,
22/10/2000 18:00,5.636,G,,
22/10/2000 18:15,5.633,G,,
22/10/2000 18:30,5.63,G,,
22/10/2000 18:45,5.633,G,,
22/10/2000 19:00,5.63,G,,
22/10/2000 19:15,5.621,G,,
22/10/2000 19:30,5.63,G,,
22/10/2000 19:45,5.621,G,,
22/10/2000 20:00,5.618,G,,
22/10/2000 20:15,5.621,G,,
22/10/2000 20:30,5.615,G,,
22/10/2000 20:45,5.624,G,,
22/10/2000 21:00,5.618,G,,
22/10/2000 21:15,5.615,G,,
22/10/2000 21:30,5.618,G,,
22/10/2000 21:45,5.608,G,,
22/10/2000 22:00,5.611,G,,
22/10/2000 22:15,5.602,G,,
22/10/2000 22:30,5.602,G,,
22/10/2000 22:45,5.602,G,,
22/10/2000 23:00,5.605,G,,
22/10/2000 23:15,5.596,G,,
22/10/2000 23:30,5.608,G,,
22/10/2000 23:45,5.602,G,,
23/10/2000 00:00,5.602,G,,
23/10/2000 00:15,5.596,G,,
23/10/2000 00:30,5.596,G,,
23/10/2000 00:45,5.596,G,,
23/10/2000 01:00,5.593,G,,
23/10/2000 01:15,5.593,G,,
23/10/2000 01:30,5.596,G,,
23/10/2000 01:45,5.596,G,,
23/10/2000 02:00,5.593,G,,
23/10/2000 02:15,5.589,G,,
23/10/2000 02:30,5.593,G,,
23/10/2000 02:45,5.589,G,,
23/10/2000 03:00,5.593,G,,
23/10/2000 03:15,5.593,G,,
23/10/2000 03:30,5.589,G,,
