Station name,York Viking Recorder,,,,
Station number,L2406,,,,
External number,---,,,,
River,River Ouse,,,,
Operator,---,,,,
NGR,SE6010951782,,,,
Easting,460109,,,,
Northing,451782,,,,
Parameter-name,SG [Stage],,Gauge zero datum,,5 mAOD
Parameter Type,Stage,,,,
Time series name,YOR/L2406/SG/Merger,,,,
Time series unit,m,,,,
Time level,High-resolution,,,,
Time series type,Other,,,,
Equidistant time series,no,,,,
Time series value distance,---,,,,
Time series quality,Production,,,,
Time series measuring method,---,,,,
Period of record in file: 21/10/2000 00:00:00 to 30/11/2000 23:00:00,,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,,
Time stamp,Value[m],State of value,Tags,Comments,
21/10/2000 00:00,0.67,G,,,
21/10/2000 00:15,0.673,G,,,
21/10/2000 00:30,0.666,G,,,
21/10/2000 00:45,0.666,G,,,
21/10/2000 01:00,0.666,G,,,
21/10/2000 01:15,0.67,G,,,
21/10/2000 01:30,0.666,G,,,
21/10/2000 01:45,0.67,G,,,
21/10/2000 02:00,0.67,G,,,
21/10/2000 02:15,0.67,G,,,
21/10/2000 02:30,0.67,G,,,
21/10/2000 02:45,0.67,G,,,
21/10/2000 03:00,0.673,G,,,
21/10/2000 03:15,0.673,G,,,
21/10/2000 03:30,0.673,G,,,
21/10/2000 03:45,0.677,G,,,
21/10/2000 04:00,0.677,G,,,
21/10/2000 04:15,0.677,G,,,
21/10/2000 04:30,0.68,G,,,
21/10/2000 04:45,0.683,G,,,
21/10/2000 05:00,0.687,G,,,
21/10/2000 05:15,0.687,G,,,
21/10/2000 05:30,0.694,G,,,
21/10/2000 05:45,0.694,G,,,
21/10/2000 06:00,0.69,G,,,
21/10/2000 06:15,0.694,G,,,
21/10/2000 06:30,0.69,G,,,
21/10/2000 06:45,0.697,G,,,
21/10/2000 07:00,0.697,G,,,
21/10/2000 07:15,0.701,G,,,
21/10/2000 07:30,0.704,G,,,
21/10/2000 07:45,0.704,G,,,
21/10/2000 08:00,0.704,G,,,
21/10/2000 08:15,0.715,G,,,
21/10/2000 08:30,0.715,G,,,
21/10/2000 08:45,0.711,G,,,
21/10/2000 09:00,0.715,G,,,
21/10/2000 09:15,0.721,G,,,
21/10/2000 09:30,0.725,G,,,
21/10/2000 09:45,0.721,G,,,
21/10/2000 10:00,0.728,G,,,
21/10/2000 10:15,0.725,G,,,
21/10/2000 10:30,0.728,G,,,
21/10/2000 10:45,0.732,G,,,
21/10/2000 11:00,0.732,G,,,
21/10/2000 11:15,0.735,G,,,
21/10/2000 11:30,0.715,G,,,
21/10/2000 11:45,0.728,G,,,
21/10/2000 12:00,0.732,G,,,
21/10/2000 12:15,0.739,G,,,
21/10/2000 12:30,0.732,G,,,
21/10/2000 12:45,0.739,G,,,
21/10/2000 13:00,0.739,G,,,
21/10/2000 13:15,0.742,G,,,
21/10/2000 13:30,0.746,G,,,
21/10/2000 13:45,0.746,G,,,
21/10/2000 14:00,0.735,G,,,
21/10/2000 14:15,0.742,G,,,
21/10/2000 14:30,0.749,G,,,
21/10/2000 14:45,0.749,G,,,
21/10/2000 15:00,0.749,G,,,
21/10/2000 15:15,0.753,G,,,
21/10/2000 15:30,0.749,G,,,
21/10/2000 15:45,0.749,G,,,
21/10/2000 16:00,0.746,G,,,
21/10/2000 16:15,0.756,G,,,
21/10/2000 16:30,0.746,G,,,
21/10/2000 16:45,0.753,G,,,
21/10/2000 17:00,0.746,G,,,
