Station name,Clifton Ings Outfall_Ings Level,,,
Station number,L2441,,,
External number,---,,,
River,River Ouse,,,
Operator,---,,,
NGR,SE5872752954,,,
Easting,458727,,,
Northing,452954,,,
Parameter-name,SG [Stage],,Records in mAOD,
Parameter Type,Stage,,,
Time series name,YOR/L2441/SG/Merger,,,
Time series unit,m,,,
Time level,High-resolution,,,
Time series type,Other,,,
Equidistant time series,no,,,
Time series value distance,---,,,
Time series quality,Production,,,
Time series measuring method,---,,,
Period of record in file: 21/10/2000 00:00:00 to 30/11/2000 23:45:00,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,
Time stamp,Value[m],State of value,Tags,Comments
21/10/2000 00:00,7.005,G,,
21/10/2000 00:15,7.005,G,,
21/10/2000 00:30,7.005,G,,
21/10/2000 00:45,7.002,G,,
21/10/2000 01:00,7.005,G,,
21/10/2000 01:15,7.005,G,,
21/10/2000 01:30,7.002,G,,
21/10/2000 01:45,7.005,G,,
21/10/2000 02:00,7.005,G,,
21/10/2000 02:15,7.005,G,,
21/10/2000 02:30,7.007,G,,
21/10/2000 02:45,7.005,G,,
21/10/2000 03:00,7.007,G,,
21/10/2000 03:15,7.007,G,,
21/10/2000 03:30,7.007,G,,
21/10/2000 03:45,7.005,G,,
21/10/2000 04:00,7.007,G,,
21/10/2000 04:15,7.005,G,,
21/10/2000 04:30,7.007,G,,
21/10/2000 04:45,7.007,G,,
21/10/2000 05:00,7.007,G,,
21/10/2000 05:15,7.005,G,,
21/10/2000 05:30,7.005,G,,
21/10/2000 05:45,7.007,G,,
21/10/2000 06:00,7.005,G,,
21/10/2000 06:15,7.007,G,,
21/10/2000 06:30,7.005,G,,
21/10/2000 06:45,7.007,G,,
21/10/2000 07:00,7.007,G,,
21/10/2000 07:15,7.007,G,,
21/10/2000 07:30,7.007,G,,
21/10/2000 07:45,7.007,G,,
21/10/2000 08:00,7.007,G,,
21/10/2000 08:15,7.007,G,,
21/10/2000 08:30,7.005,G,,
21/10/2000 08:45,7.005,G,,
21/10/2000 09:00,7.005,G,,
21/10/2000 09:15,7.007,G,,
21/10/2000 09:30,7.005,G,,
21/10/2000 09:45,7.007,G,,
21/10/2000 10:00,7.005,G,,
21/10/2000 10:15,7.005,G,,
21/10/2000 10:30,7.005,G,,
21/10/2000 10:45,7.005,G,,
21/10/2000 11:00,7.005,G,,
21/10/2000 11:15,7.005,G,,
21/10/2000 11:30,7.005,G,,
21/10/2000 11:45,7.005,G,,
21/10/2000 12:00,7.005,G,,
21/10/2000 12:15,7.005,G,,
21/10/2000 12:30,7.005,G,,
21/10/2000 12:45,7.005,G,,
21/10/2000 13:00,7.005,G,,
21/10/2000 13:15,7.005,G,,
21/10/2000 13:30,7.002,G,,
21/10/2000 13:45,7.005,G,,
21/10/2000 14:00,7.005,G,,
21/10/2000 14:15,7.005,G,,
21/10/2000 14:30,7.002,G,,
21/10/2000 14:45,7.002,G,,
21/10/2000 15:00,7.005,G,,
21/10/2000 15:15,7.005,G,,
21/10/2000 15:30,7.005,G,,
21/10/2000 15:45,7.005,G,,
21/10/2000 16:00,7.005,G,,
21/10/2000 16:15,7.002,G,,
21/10/2000 16:30,7.002,G,,
21/10/2000 16:45,7.005,G,,
21/10/2000 17:00,7.005,G,,
21/10/2000 17:15,7.005,G,,
21/10/2000 17:30,7.007,G,,
21/10/2000 17:45,7.005,G,,
21/10/2000 18:00,7.007,G,,
21/10/2000 18:15,7.007,G,,
21/10/2000 18:30,7.007,G,,
21/10/2000 18:45,7.007,G,,
21/10/2000 19:00,7.007,G,,
21/10/2000 19:15,7.01,G,,
21/10/2000 19:30,7.007,G,,
21/10/2000 19:45,7.01,G,,
21/10/2000 20:00,7.01,G,,
21/10/2000 20:15,7.01,G,,
21/10/2000 20:30,7.01,G,,
21/10/2000 20:45,7.007,G,,
21/10/2000 21:00,7.007,G,,
21/10/2000 21:15,7.007,G,,
21/10/2000 21:30,7.01,G,,
21/10/2000 21:45,7.01,G,,
21/10/2000 22:00,7.01,G,,
21/10/2000 22:15,7.01,G,,
21/10/2000 22:30,7.01,G,,
21/10/2000 22:45,7.01,G,,
21/10/2000 23:00,7.01,G,,
21/10/2000 23:15,7.012,G,,
21/10/2000 23:30,7.01,G,,
21/10/2000 23:45,7.01,G,,
22/10/2000 00:00,7.012,G,,
22/10/2000 00:15,7.012,G,,
22/10/2000 00:30,7.012,G,,
22/10/2000 00:45,7.012,G,,
22/10/2000 01:00,7.012,G,,
22/10/2000 01:15,7.012,G,,
22/10/2000 01:30,7.012,G,,
22/10/2000 01:45,7.012,G,,
22/10/2000 02:00,7.012,G,,
22/10/2000 02:15,7.012,G,,
22/10/2000 02:30,7.012,G,,
22/10/2000 02:45,7.015,G,,
22/10/2000 03:00,7.015,G,,
22/10/2000 03:15,7.015,G,,
22/10/2000 03:30,7.015,G,,
22/10/2000 03:45,7.015,G,,
22/10/2000 04:00,7.012,G,,
22/10/2000 04:15,7.012,G,,
22/10/2000 04:30,7.015,G,,
22/10/2000 04:45,7.015,G,,
22/10/2000 05:00,7.012,G,,
22/10/2000 05:15,7.012,G,,
22/10/2000 05:30,7.015,G,,
22/10/2000 05:45,7.012,G,,
22/10/2000 06:00,7.015,G,,
22/10/2000 06:15,7.012,G,,
22/10/2000 06:30,7.012,G,,
22/10/2000 06:45,7.015,G,,
22/10/2000 07:00,7.012,G,,
22/10/2000 07:15,7.012,G,,
22/10/2000 07:30,7.012,G,,
22/10/2000 07:45,7.01,G,,
22/10/2000 08:00,7.01,G,,
22/10/2000 08:15,7.012,G,,
22/10/2000 08:30,7.01,G,,
22/10/2000 08:45,7.01,G,,
22/10/2000 09:00,7.01,G,,
22/10/2000 09:15,7.01,G,,
22/10/2000 09:30,7.01,G,,
22/10/2000 09:45,7.007,G,,
22/10/2000 10:00,7.007,G,,
22/10/2000 10:15,7.007,G,,
22/10/2000 10:30,7.007,G,,
22/10/2000 10:45,7.007,G,,
22/10/2000 11:00,7.005,G,,
22/10/2000 11:15,7.007,G,,
22/10/2000 11:30,7.007,G,,
22/10/2000 11:45,7.005,G,,
22/10/2000 12:00,7.005,G,,
22/10/2000 12:15,7.005,G,,
22/10/2000 12:30,7.005,G,,
22/10/2000 12:45,7.005,G,,
22/10/2000 13:00,7.005,G,,
22/10/2000 13:15,7.005,G,,
22/10/2000 13:30,7.005,G,,
22/10/2000 13:45,7.005,G,,
22/10/2000 14:00,7.005,G,,
22/10/2000 14:15,7.005,G,,
22/10/2000 14:30,7.005,G,,
22/10/2000 14:45,7.005,G,,
22/10/2000 15:00,7.005,G,,
22/10/2000 15:15,7.005,G,,
22/10/2000 15:30,7.005,G,,
22/10/2000 15:45,7.005,G,,
22/10/2000 16:00,7.005,G,,
22/10/2000 16:15,7.005,G,,
22/10/2000 16:30,7.005,G,,
22/10/2000 16:45,7.007,G,,
22/10/2000 17:00,7.005,G,,
22/10/2000 17:15,7.007,G,,
22/10/2000 17:30,7.007,G,,
22/10/2000 17:45,7.007,G,,
22/10/2000 18:00,7.005,G,,
22/10/2000 18:15,7.007,G,,
22/10/2000 18:30,7.007,G,,
22/10/2000 18:45,7.005,G,,
22/10/2000 19:00,7.007,G,,
22/10/2000 19:15,7.007,G,,
22/10/2000 19:30,7.005,G,,
22/10/2000 19:45,7.007,G,,
22/10/2000 20:00,7.005,G,,
22/10/2000 20:15,7.005,G,,
22/10/2000 20:30,7.007,G,,
22/10/2000 20:45,7.007,G,,
22/10/2000 21:00,7.007,G,,
22/10/2000 21:15,7.007,G,,
22/10/2000 21:30,7.007,G,,
22/10/2000 21:45,7.007,G,,
22/10/2000 22:00,7.007,G,,
22/10/2000 22:15,7.007,G,,
22/10/2000 22:30,7.007,G,,
22/10/2000 22:45,7.007,G,,
22/10/2000 23:00,7.007,G,,
22/10/2000 23:15,7.007,G,,
22/10/2000 23:30,7.005,G,,
22/10/2000 23:45,7.005,G,,
23/10/2000 00:00,7.007,G,,
23/10/2000 00:15,7.007,G,,
23/10/2000 00:30,7.007,G,,
23/10/2000 00:45,7.007,G,,
23/10/2000 01:00,7.007,G,,
23/10/2000 01:15,7.007,G,,
23/10/2000 01:30,7.007,G,,
23/10/2000 01:45,7.005,G,,
23/10/2000 02:00,7.005,G,,
23/10/2000 02:15,7.005,G,,
23/10/2000 02:30,7.005,G,,
23/10/2000 02:45,7.005,G,,
23/10/2000 03:00,7.005,G,,
23/10/2000 03:15,7.005,G,,
23/10/2000 03:30,7.005,G,,
23/10/2000 03:45,7.005,G,,
23/10/2000 04:00,7.005,G,,
23/10/2000 04:15,7.005,G,,
23/10/2000 04:30,7.005,G,,
23/10/2000 04:45,7.005,G,,
23/10/2000 05:00,7.005,G,,
23/10/2000 05:15,7.005,G,,
23/10/2000 05:30,7.005,G,,
23/10/2000 05:45,7.005,G,,
23/10/2000 06:00,7.005,G,,
23/10/2000 06:15,7.005,G,,
23/10/2000 06:30,7.005,G,,
23/10/2000 06:45,7.005,G,,
23/10/2000 07:00,7.005,G,,
23/10/2000 07:15,7.005,G,,
23/10/2000 07:30,7.005,G,,
23/10/2000 07:45,7.005,G,,
23/10/2000 08:00,7.002,G,,
23/10/2000 08:15,7.005,G,,
23/10/2000 08:30,7.005,G,,
23/10/2000 08:45,7.002,G,,
23/10/2000 09:00,7.002,G,,
23/10/2000 09:15,7.002,G,,
23/10/2000 09:30,7.002,G,,
23/10/2000 09:45,7.002,G,,
23/10/2000 10:00,7.002,G,,
23/10/2000 10:15,7.002,G,,
23/10/2000 10:30,7.002,G,,
23/10/2000 10:45,7.002,G,,
23/10/2000 11:00,7.002,G,,
23/10/2000 11:15,7.002,G,,
23/10/2000 11:30,7,G,,
23/10/2000 11:45,7.002,G,,
23/10/2000 12:00,7,G,,
23/10/2000 12:15,7.002,G,,
23/10/2000 12:30,7.002,G,,
23/10/2000 12:45,7,G,,
23/10/2000 13:00,7,G,,
23/10/2000 13:15,7,G,,
23/10/2000 13:30,7,G,,
23/10/2000 13:45,7,G,,
23/10/2000 14:00,7,G,,
23/10/2000 14:15,7.002,G,,
23/10/2000 14:30,7.002,G,,
23/10/2000 14:45,7.002,G,,
23/10/2000 15:00,7.002,G,,
23/10/2000 15:15,7,G,,
23/10/2000 15:30,7.002,G,,
23/10/2000 15:45,7,G,,
23/10/2000 16:00,7.002,G,,
23/10/2000 16:15,7.002,G,,
23/10/2000 16:30,7.002,G,,
23/10/2000 16:45,7.002,G,,
23/10/2000 17:00,7.005,G,,
23/10/2000 17:15,7.002,G,,
