Day,Stage,Flow
0,4.13,208
0.010416667,4.14,209
0.020833333,4.148,210
0.03125,4.155,211
0.041666667,4.167,211
0.052083333,4.179,213
0.0625,4.188,214
0.072916667,4.201,215
0.083333333,4.214,217
0.09375,4.228,218
0.104166667,4.246,219
0.114583333,4.258,221
0.125,4.28,223
0.135416667,4.297,224
0.145833333,4.311,226
0.15625,4.332,229
0.166666667,4.35,229
0.177083333,4.369,232
0.1875,4.387,234
0.197916667,4.403,235
0.208333333,4.418,237
0.21875,4.443,239
0.229166667,4.459,241
0.239583333,4.481,243
0.25,4.501,244
0.260416667,4.52,246
0.270833333,4.541,250
0.28125,4.566,251
0.291666667,4.589,254
0.302083333,4.608,255
0.3125,4.63,257
0.322916667,4.654,258
0.333333333,4.675,261
0.34375,4.7,262
0.354166667,4.716,264
0.364583333,4.744,267
0.375,4.768,268
0.385416667,4.789,270
0.395833333,4.804,273
0.40625,4.834,276
0.416666667,4.854,279
0.427083333,4.879,281
0.4375,4.901,284
0.447916667,4.928,287
0.458333333,4.946,287
0.46875,4.97,288
0.479166667,4.992,291
0.489583333,5.008,293
0.5,5.028,296
0.510416667,5.045,298
0.520833333,5.064,299
0.53125,5.074,299
0.541666667,5.088,300
0.552083333,5.107,301
0.5625,5.125,303
0.572916667,5.138,303
0.583333333,5.158,303
0.59375,5.162,303
0.604166667,5.176,302
0.614583333,5.187,305
0.625,5.203,306
0.635416667,5.205,306
0.645833333,5.22,305
0.65625,5.229,309
0.666666667,5.244,309
0.677083333,5.267,314
0.6875,5.286,319
0.697916667,5.315,322
0.708333333,5.331,326
0.71875,5.359,332
0.729166667,5.382,335
0.739583333,5.405,339
0.75,5.44,345
0.760416667,5.458,348
0.770833333,5.482,352
0.78125,5.514,357
0.791666667,5.545,363
0.802083333,5.571,367
0.8125,5.595,371
0.822916667,5.621,373
0.833333333,5.65,380
0.84375,5.683,385
0.854166667,5.714,390
0.864583333,5.743,398
0.875,5.788,402
0.885416667,5.822,407
0.895833333,5.853,417
0.90625,5.894,425
0.916666667,5.928,429
0.927083333,5.957,435
0.9375,6.002,442
0.947916667,6.029,448
0.958333333,6.069,454
0.96875,6.083,464
0.979166667,6.117,467
0.989583333,6.138,477
1,6.157,485
1.010416667,6.169,491
1.020833333,6.176,498
1.03125,6.191,504
1.041666667,6.198,508
