Time,Day,Stage,Flow,Stage comments,Flow comments
25/12/2015 00:00,0,4.483,231,,
25/12/2015 00:15,0.010416667,4.474,231,,
25/12/2015 00:30,0.020833333,4.462,230,,
25/12/2015 00:45,0.03125,4.461,230,,
25/12/2015 01:00,0.041666667,4.451,230,,
25/12/2015 01:15,0.052083333,4.447,229,,
25/12/2015 01:30,0.0625,4.434,228,,
25/12/2015 01:45,0.072916667,4.433,228,,
25/12/2015 02:00,0.083333333,4.424,227,,
25/12/2015 02:15,0.09375,4.415,228,,
25/12/2015 02:30,0.104166667,4.415,227,,
25/12/2015 02:45,0.114583333,4.403,227,,
25/12/2015 03:00,0.125,4.396,227,,
25/12/2015 03:15,0.135416667,4.391,226,,
25/12/2015 03:30,0.145833333,4.388,225,,
25/12/2015 03:45,0.15625,4.382,225,,
25/12/2015 04:00,0.166666667,4.374,225,,
25/12/2015 04:15,0.177083333,4.37,223,,
25/12/2015 04:30,0.1875,4.358,224,,
25/12/2015 04:45,0.197916667,4.36,223,,
25/12/2015 05:00,0.208333333,4.349,223,,
25/12/2015 05:15,0.21875,4.339,222,,
25/12/2015 05:30,0.229166667,4.342,222,,
25/12/2015 05:45,0.239583333,4.33,222,,
25/12/2015 06:00,0.25,4.321,221,,
25/12/2015 06:15,0.260416667,4.317,220,,
25/12/2015 06:30,0.270833333,4.307,219,,
25/12/2015 06:45,0.28125,4.303,220,,
25/12/2015 07:00,0.291666667,4.293,218,,
25/12/2015 07:15,0.302083333,4.286,218,,
25/12/2015 07:30,0.3125,4.281,217,,
25/12/2015 07:45,0.322916667,4.27,216,,
25/12/2015 08:00,0.333333333,4.264,216,,
25/12/2015 08:15,0.34375,4.255,215,,
25/12/2015 08:30,0.354166667,4.247,215,,
25/12/2015 08:45,0.364583333,4.239,214,,
25/12/2015 09:00,0.375,4.23,214,,
25/12/2015 09:15,0.385416667,4.225,213,,
25/12/2015 09:30,0.395833333,4.218,212,,
25/12/2015 09:45,0.40625,4.208,212,,
25/12/2015 10:00,0.416666667,4.201,211,,
25/12/2015 10:15,0.427083333,4.196,210,,
25/12/2015 10:30,0.4375,4.189,209,,
25/12/2015 10:45,0.447916667,4.185,210,,
25/12/2015 11:00,0.458333333,4.175,210,,
25/12/2015 11:15,0.46875,4.168,209,,
25/12/2015 11:30,0.479166667,4.162,209,,
25/12/2015 11:45,0.489583333,4.152,208,,
25/12/2015 12:00,0.5,4.144,207,,
25/12/2015 12:15,0.510416667,4.138,206,,
25/12/2015 12:30,0.520833333,4.131,206,,
25/12/2015 12:45,0.53125,4.125,205,,
25/12/2015 13:00,0.541666667,4.117,204,,
25/12/2015 13:15,0.552083333,4.105,204,,
25/12/2015 13:30,0.5625,4.097,204,,
25/12/2015 13:45,0.572916667,4.091,203,,
25/12/2015 14:00,0.583333333,4.085,202,,
25/12/2015 14:15,0.59375,4.082,201,,
25/12/2015 14:30,0.604166667,4.07,202,,
25/12/2015 14:45,0.614583333,4.064,200,,
25/12/2015 15:00,0.625,4.055,200,,
25/12/2015 15:15,0.635416667,4.05,199,,
25/12/2015 15:30,0.645833333,4.05,200,,
25/12/2015 15:45,0.65625,4.041,199,,
25/12/2015 16:00,0.666666667,4.037,199,,
25/12/2015 16:15,0.677083333,4.031,198,,
25/12/2015 16:30,0.6875,4.031,198,,
25/12/2015 16:45,0.697916667,4.032,199,,
25/12/2015 17:00,0.708333333,4.027,198,,
25/12/2015 17:15,0.71875,4.028,197,,
25/12/2015 17:30,0.729166667,4.028,197,,
25/12/2015 17:45,0.739583333,4.032,197,,
25/12/2015 18:00,0.75,4.024,197,,
25/12/2015 18:15,0.760416667,4.022,197,,
25/12/2015 18:30,0.770833333,4.018,197,,
25/12/2015 18:45,0.78125,4.019,197,,
25/12/2015 19:00,0.791666667,4.018,197,,
25/12/2015 19:15,0.802083333,4.016,198,,
25/12/2015 19:30,0.8125,4.021,200,,
25/12/2015 19:45,0.822916667,4.017,200,,
25/12/2015 20:00,0.833333333,4.017,199,,
25/12/2015 20:15,0.84375,4.025,200,,
25/12/2015 20:30,0.854166667,4.024,200,,
25/12/2015 20:45,0.864583333,4.031,201,,
25/12/2015 21:00,0.875,4.032,201,,
25/12/2015 21:15,0.885416667,4.039,200,,
25/12/2015 21:30,0.895833333,4.042,203,,
25/12/2015 21:45,0.90625,4.052,203,,
25/12/2015 22:00,0.916666667,4.061,202,,
25/12/2015 22:15,0.927083333,4.069,204,,
25/12/2015 22:30,0.9375,4.078,205,,
25/12/2015 22:45,0.947916667,4.086,206,,
25/12/2015 23:00,0.958333333,4.095,206,,
25/12/2015 23:15,0.96875,4.103,205,,
25/12/2015 23:30,0.979166667,4.109,206,,
25/12/2015 23:45,0.989583333,4.122,207,,
26/12/2015 00:00,1,4.13,208,,
26/12/2015 00:15,1.010416667,4.14,209,,
26/12/2015 00:30,1.020833333,4.148,210,,
26/12/2015 00:45,1.03125,4.155,211,,
26/12/2015 01:00,1.041666667,4.167,211,,
26/12/2015 01:15,1.052083333,4.179,213,,
26/12/2015 01:30,1.0625,4.188,214,,
26/12/2015 01:45,1.072916667,4.201,215,,
26/12/2015 02:00,1.083333333,4.214,217,,
26/12/2015 02:15,1.09375,4.228,218,,
26/12/2015 02:30,1.104166667,4.246,219,,
26/12/2015 02:45,1.114583333,4.258,221,,
26/12/2015 03:00,1.125,4.28,223,,
26/12/2015 03:15,1.135416667,4.297,224,,
26/12/2015 03:30,1.145833333,4.311,226,,
26/12/2015 03:45,1.15625,4.332,229,,
26/12/2015 04:00,1.166666667,4.35,229,,
26/12/2015 04:15,1.177083333,4.369,232,,
26/12/2015 04:30,1.1875,4.387,234,,
26/12/2015 04:45,1.197916667,4.403,235,,
26/12/2015 05:00,1.208333333,4.418,237,,
26/12/2015 05:15,1.21875,4.443,239,,
26/12/2015 05:30,1.229166667,4.459,241,,
26/12/2015 05:45,1.239583333,4.481,243,,
26/12/2015 06:00,1.25,4.501,244,,
26/12/2015 06:15,1.260416667,4.52,246,,
26/12/2015 06:30,1.270833333,4.541,250,,
26/12/2015 06:45,1.28125,4.566,251,,
26/12/2015 07:00,1.291666667,4.589,254,,
26/12/2015 07:15,1.302083333,4.608,255,,
26/12/2015 07:30,1.3125,4.63,257,,
26/12/2015 07:45,1.322916667,4.654,258,,
26/12/2015 08:00,1.333333333,4.675,261,,
26/12/2015 08:15,1.34375,4.7,262,,
26/12/2015 08:30,1.354166667,4.716,264,,
26/12/2015 08:45,1.364583333,4.744,267,,
26/12/2015 09:00,1.375,4.768,268,,
26/12/2015 09:15,1.385416667,4.789,270,,
26/12/2015 09:30,1.395833333,4.804,273,,
26/12/2015 09:45,1.40625,4.834,276,,
26/12/2015 10:00,1.416666667,4.854,279,,
26/12/2015 10:15,1.427083333,4.879,281,,
26/12/2015 10:30,1.4375,4.901,284,,
26/12/2015 10:45,1.447916667,4.928,287,,
26/12/2015 11:00,1.458333333,4.946,287,,
26/12/2015 11:15,1.46875,4.97,288,,
26/12/2015 11:30,1.479166667,4.992,291,,
26/12/2015 11:45,1.489583333,5.008,293,,
26/12/2015 12:00,1.5,5.028,296,,
26/12/2015 12:15,1.510416667,5.045,298,,
26/12/2015 12:30,1.520833333,5.064,299,,
26/12/2015 12:45,1.53125,5.074,299,,
26/12/2015 13:00,1.541666667,5.088,300,,
26/12/2015 13:15,1.552083333,5.107,301,,
26/12/2015 13:30,1.5625,5.125,303,,
26/12/2015 13:45,1.572916667,5.138,303,,
26/12/2015 14:00,1.583333333,5.158,303,,
26/12/2015 14:15,1.59375,5.162,303,,
26/12/2015 14:30,1.604166667,5.176,302,,
26/12/2015 14:45,1.614583333,5.187,305,,
26/12/2015 15:00,1.625,5.203,306,,
26/12/2015 15:15,1.635416667,5.205,306,,
26/12/2015 15:30,1.645833333,5.22,305,,
26/12/2015 15:45,1.65625,5.229,309,,
26/12/2015 16:00,1.666666667,5.244,309,,
26/12/2015 16:15,1.677083333,5.267,314,,
26/12/2015 16:30,1.6875,5.286,319,,
26/12/2015 16:45,1.697916667,5.315,322,,
26/12/2015 17:00,1.708333333,5.331,326,,
26/12/2015 17:15,1.71875,5.359,332,,
26/12/2015 17:30,1.729166667,5.382,335,,
26/12/2015 17:45,1.739583333,5.405,339,,
26/12/2015 18:00,1.75,5.44,345,,
26/12/2015 18:15,1.760416667,5.458,348,,
26/12/2015 18:30,1.770833333,5.482,352,,
26/12/2015 18:45,1.78125,5.514,357,,
26/12/2015 19:00,1.791666667,5.545,363,,
26/12/2015 19:15,1.802083333,5.571,367,,
26/12/2015 19:30,1.8125,5.595,371,,
26/12/2015 19:45,1.822916667,5.621,373,,
26/12/2015 20:00,1.833333333,5.65,380,,
26/12/2015 20:15,1.84375,5.683,385,,
26/12/2015 20:30,1.854166667,5.714,390,,
26/12/2015 20:45,1.864583333,5.743,398,,
26/12/2015 21:00,1.875,5.788,402,,
26/12/2015 21:15,1.885416667,5.822,407,,
26/12/2015 21:30,1.895833333,5.853,417,,
26/12/2015 21:45,1.90625,5.894,425,,
26/12/2015 22:00,1.916666667,5.928,429,,
26/12/2015 22:15,1.927083333,5.957,435,,
26/12/2015 22:30,1.9375,6.002,442,,
26/12/2015 22:45,1.947916667,6.029,448,,
26/12/2015 23:00,1.958333333,6.069,454,,
26/12/2015 23:15,1.96875,6.083,464,,
26/12/2015 23:30,1.979166667,6.117,467,,
26/12/2015 23:45,1.989583333,6.138,477,,
27/12/2015 00:00,2,6.157,485,,
27/12/2015 00:15,2.010416667,6.169,491,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 00:30,2.020833333,6.176,498,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 00:45,2.03125,6.191,504,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 01:00,2.041666667,6.198,508,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 01:15,2.052083333,6.209,510,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 01:30,2.0625,6.219,516,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 01:45,2.072916667,6.227,521,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 02:00,2.083333333,6.229,528,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 02:15,2.09375,6.235,527,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 02:30,2.104166667,6.25,527,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 02:45,2.114583333,6.247,529,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 03:00,2.125,6.238,536,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 03:15,2.135416667,6.258,534,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 03:30,2.145833333,6.245,539,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 03:45,2.15625,6.253,542,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 04:00,2.166666667,6.254,543,,"Increased velocities recorded by multiple paths as water released into Clifton Ings, increasing flow. "
27/12/2015 04:15,2.177083333,6.257,543,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 04:30,2.1875,6.255,544,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 04:45,2.197916667,6.266,541,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 05:00,2.208333333,6.298,529,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 05:15,2.21875,6.325,520,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 05:30,2.229166667,6.339,515,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 05:45,2.239583333,6.359,518,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 06:00,2.25,6.369,514,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 06:15,2.260416667,6.39,509,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 06:30,2.270833333,6.401,513,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 06:45,2.28125,6.413,513,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 07:00,2.291666667,6.418,511,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 07:15,2.302083333,6.426,511,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 07:30,2.3125,6.435,508,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 07:45,2.322916667,6.439,511,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 08:00,2.333333333,6.447,507,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
27/12/2015 08:15,2.34375,6.45,507,,"Clifton Ings suspected to start spilling after 04:00, increasing water levels downstream"
